,index,city,position,updatedate,avgbasepay,minpay,avgpay,maxpay,positioninfo
0,0,Dublin,Junior Web Developer Salaries in Dublin Area,Updated 3 May 2022,"€30,972",€26K,€31K,€36K,"How much does a Junior Web Developer make in Dublin, Ireland? The average salary for a Junior Web Developer is €30,972  in Dublin, Ireland. Salaries estimates are based on 2 salaries submitted anonymously to Glassdoor by Junior Web Developer employees in Dublin, Ireland."
1,0,Amsterdam,"Junior Web Developer Salaries in Amsterdam, Netherlands Area",Updated 3 May 2022,"€42,168",€33K,€42K,€65K,"The average salary for Junior Web Developer is €42,168 per year in the Amsterdam, Netherlands Area. The average additional cash compensation for a Junior Web Developer in the Amsterdam, Netherlands Area is €2,251, with a range from €2,251 - €2,251. Salaries estimates are based on 4 salaries submitted anonymously to Glassdoor by Junior Web Developer employees in the Amsterdam, Netherlands Area."
2,0,Madrid,"Junior Web Developer Salaries in Madrid, Spain Area",Updated 3 May 2022,"€23,214",€15K,€23K,€42K,"The average salary for Junior Web Developer is €23,214 per year in the Madrid, Spain Area. The average additional cash compensation for a Junior Web Developer in the Madrid, Spain Area is €514, with a range from €514 - €514. Salaries estimates are based on 13 salaries submitted anonymously to Glassdoor by Junior Web Developer employees in the Madrid, Spain Area."
3,0,Paris,"Junior Web Developer Salaries in Paris, France Area",Updated 3 May 2022,"€41,064",€36K,€46K,No additional cash compensation has been reported for this role,"How much does a Junior Web Developer make in Paris, France? The average salary for a Junior Web Developer is €41,064  in Paris, France. Salaries estimates are based on 2 salaries submitted anonymously to Glassdoor by Junior Web Developer employees in Paris, France."
4,0,Berlin,"Junior Web Developer Salaries in Berlin, Germany Area",Updated 27 Apr 2022,"€38,000",€27K,€38K,€45K,"The average salary for Junior Web Developer is €38,000 per year in the Berlin, Germany Area. The average additional cash compensation for a Junior Web Developer in the Berlin, Germany Area is €4,030, with a range from €4,030 - €4,030. Salaries estimates are based on 5 salaries submitted anonymously to Glassdoor by Junior Web Developer employees in the Berlin, Germany Area."
5,0,Milan,"Junior Web Developer Salaries in Milan, Italy Area",Updated 3 May 2022,"€1,293",€536,€1K,€2K,"How much does a Junior Web Developer make in Milan, Italy? The average salary for a Junior Web Developer is €1,293  in Milan, Italy. Salaries estimates are based on 5 salaries submitted anonymously to Glassdoor by Junior Web Developer employees in Milan, Italy."
6,0,London,"Junior Web Developer Salaries in London, United Kingdom Area",Updated 3 May 2022,"£28,880",£22K,£29K,£37K,"How much does a Junior Web Developer make in London, UK? The average salary for a Junior Web Developer is £28,880  in London, UK. Salaries estimates are based on 42 salaries submitted anonymously to Glassdoor by Junior Web Developer employees in London, UK."
7,0,Barcelona,"Junior Web Developer Salaries in Barcelona, Spain Area",Updated 30 Apr 2022,"€24,256",€12K,€24K,€51K,"The average salary for Junior Web Developer is €24,256 per year in the Barcelona, Spain Area. The average additional cash compensation for a Junior Web Developer in the Barcelona, Spain Area is €3,223, with a range from €3,223 - €3,223. Salaries estimates are based on 13 salaries submitted anonymously to Glassdoor by Junior Web Developer employees in the Barcelona, Spain Area."
8,0,Frankfurt,"Junior Web Developer Salaries in Barcelona, Spain Area",Updated 30 Apr 2022,"€24,256",€12K,€24K,€51K,"The average salary for Junior Web Developer is €24,256 per year in the Barcelona, Spain Area. The average additional cash compensation for a Junior Web Developer in the Barcelona, Spain Area is €3,223, with a range from €3,223 - €3,223. Salaries estimates are based on 13 salaries submitted anonymously to Glassdoor by Junior Web Developer employees in the Barcelona, Spain Area."
9,0,Lisbon,"Junior Web Developer Salaries in Lisbon, Portugal Area",Updated 18 Apr 2022,"€1,076",€794,€1K,€1K,"The average salary for Junior Web Developer is €1,076 per month in the Lisbon, Portugal Area. The average additional cash compensation for a Junior Web Developer in the Lisbon, Portugal Area is €1,244, with a range from €1,244 - €1,244. Salaries estimates are based on 6 salaries submitted anonymously to Glassdoor by Junior Web Developer employees in the Lisbon, Portugal Area."
